label,janelas,aceitas,media_ratio_maos,media_movimento_maos,taxa_aceitacao
Calmo,214,145,0.6535046728971963,0.02247054205607477,0.677570093457944
Obrigado,270,212,0.7690740740740741,0.022233014814814815,0.7851851851851852
Nome,159,127,0.7421383647798742,0.03590601257861636,0.7987421383647799
Aceitar,176,143,0.7775568181818181,0.035046159090909086,0.8125
Sortudo,156,131,0.8121794871794872,0.028925615384615383,0.8397435897435898
Oi,408,362,0.8863970588235294,0.01787567156862745,0.8872549019607843
Casa,227,202,0.8887665198237885,0.024645185022026433,0.8898678414096917
Banheiro,245,220,0.916530612244898,0.017662481632653063,0.8979591836734694
Bebida,175,158,0.8757142857142857,0.025323645714285716,0.9028571428571428
Livro,195,178,0.888974358974359,0.04321570256410256,0.9128205128205128
Desconhecido,1530,1452,0.8985294117647059,0.035677645751633985,0.9490196078431372
